Kupreichik, Viktor D
Xie, Jun
Rukavina, Josip
Kirov, Nino
Hobusch, Werner
Lainburg, Viktor
Ulybin, Mikhail
Ekstroem, Roland
Zhu, Chen
Gdanski, Jacek
Malich, Burkhard, Dr.
Kazakov, Mikhail
Lane, Gary W
Socko, Bartosz
Jansa, Vlastimil
Doroshkievich, Vladimir K
Loginov, Valery A
Khanukov, Boris
Espig, Lutz
Rotstein, Jefim
Tari,A
Ding, Liren
Navara, David
Nalbandian, Tigran
Nepomniachtchi, Ian
Movsesian, Sergei
Dreev, Aleksey
Vachier-Lagrave, Maxime
Abdusattorov, Nodirbek
Sokolov,I
Stefansson,H
Vallejo Pons, Francisco
Le, Quang Liem
Rozentalis, Eduardas
Kryvoruchko, Yuriy
Iljushin, Alexei
Dominguez Perez, Leinier
Macieja, Bartlomiej
Erigaisi Arjun
Peralta, Fernando
Mchedlishvili, Mikheil
Acs,P
Romanov, Evgeny
Hammer, Jon Ludvig
Ortiz Suarez, Isan Reynaldo
Nguyen, Ngoc Truong Son
Golod, Vitali
Hillarp Persson, Tiger
Aleksandrov,A
Berkes, Ferenc
Motylev, Alexander
Shoker, Samy
Gabrielian, Artur
Nikolova,A
Fridman,D
Muller, K.
Ippolito, Dean
Gutman, L.
Mainka, Romuald
Womacka, Mathias
Stangl, Markus
Kindermann, Stefan
Sinkovics, Peter
Leitao, Rafael
Abramovic, Bosko
Sieglen, Joachim, Dr.
Bischoff, K.
Muse, Mladen
Rabiega, Robert
Movsziszian, Karen
Liebert, Heinz
Dinstuhl, Volkmar, Dr.
Savon, Vladimir A
Tischbierek, Raj
Aseev, Konstantin N
Wirthensohn, Heinz
Fichtl, Jiri
Herbrechtsmeier, Christof
Lesiege, Alexandre
Fogarasi, Tibor
Stabolewski, Andreas
Gruenberg, Hans-Ulrich
Teske, Henrik
Khalifman, Alexander
Knaak, Rainer
Breutigam, Martin
Har-Zvi, Ronen
Gheorghiu, Florin
Piket, J.
Mohr, Georg
Lukacs, Peter
Horvath, J.
Trapl, Jindrich
Borik, Otto
Stefansson, H.
Blackburne, Joseph
Chigorin, Mikhail
Steinitz, Wilhelm
NN
Anderssen, Adolf
Paulsen, Louis
Pillsbury, Harry
Zukertort, Johannes
Botvinnik, Mikhail URS
Dautov, R.
Timoscenko, Gennadij
Alekhine, Alexander
Kuijpers, Frans
Sliwa, Bogdan
Suetin, Alexey S
Tringov, Georgi P
Van Scheltinga, Theo
Cioara, Andrei-Nestor
Mochalov, Evgeny V
Poley, Vladimir
Bogoljubow, Efim
Capablanca, Jose
Mieses, Jacques
Nimzowitsch, Aron
Spielmann, Rudolf
Tarrasch, Siegbert
Thomas, George Alan
Stahlberg, Gideon
Tartakower, Savielly
Rublevsky, Sergei
McShane, Luke J
Chernin, Alexander
Vyzmanavin, Alexey
Lautier, Joel
Andreikin, Dmitry
Mamedov, Rauf
Salem, A.R. Saleh
Dronavalli, Harika
Dias,P
Naiditsch, Arkadij
Tikkanen, Hans
