Anton, Teodor
Grigore, George-Gabriel
Gruenberg, Hans-Ulrich
Jerez Perez, Alfonso
Sokolov, Andrei1
Razafindratsima, Timothe
Malakhov,V
Polugaevsky, Lev
Van Wessel, Rudy
Velikov, Petar
Alekseev, Evgeny
Nguyen Anh Dung
Klaric, Zlatko
Ciocaltea, Victor
Laketic, Gojko
Pirrot, Dieter
